"surname","pred.whi","pred.bla","pred.his","pred.asi","pred.oth"
"SAUNDERS",0.626603174713632,0.261710693246753,0.0304837365964845,0.00786873274654884,0.0733336626965808
"LANDSMAN",0.917782835085053,0.0160466742145532,0.0215819237737213,0.00699355051199783,0.0375950164146748
"FORMAN",0.803617943284006,0.111884993424049,0.030501715493246,0.00789413528883508,0.0461012125098636
"ANTHONY",0.552576400760043,0.317814414952973,0.0441593931391716,0.0210124920941706,0.0644372990536426
"COE",0.785496156463688,0.11399665435421,0.0303665412109026,0.0156069776623465,0.0545336703088527
"NAKARANI",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"ROBINSON",0.446866834948579,0.444257043706158,0.0299754143493733,0.00627682969651434,0.072623877299375
"MACKEY",0.647707080796567,0.245450670751485,0.0275194979597994,0.0071709817403214,0.0721517687518274
"LIU",0.0119777916523486,0.00122441539200168,0.0045232807655423,0.952112952334976,0.0301615598551318
"SEAMAN",0.881520498409309,0.0160223301903006,0.0329751940939008,0.0137398963907844,0.0557420809157055
"SZEKELY",0.94233741405234,0.00540703580108376,0.0339147830988518,0.00149246540082541,0.0168483016468995
"PADMANABHAN",0.0151330619331111,0,0.00841838394033786,0.950235664197886,0.0262128899286648
"NAZARIO GONZALEZ",0.0677084700567739,0.0122909387333509,0.879522196283987,0.0241811543768203,0.0162972405490678
"NOLAN",0.829609917140744,0.0765741657805014,0.0347885039631929,0.00823609235621289,0.0507913207593493
"JUSKA",0.910015060479988,0.00410297695311376,0.0619553006375971,0.00566257684263807,0.0182640850866626
"YOON",0.0138325210379569,0.000681658969009942,0.00453952471050245,0.958390943447551,0.0225553518349795
"NICKOL",0.952563389292287,0.00760341186172645,0.0176634100312208,0.005246788420366,0.0169230003943994
"TENTONI",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"BERMAN",0.913968510232041,0.010252277373524,0.0321604850732359,0.0139690677681438,0.0296496595530549
"KRAMER",0.926136000456276,0.00355241497504722,0.0268494067335863,0.00881137320982303,0.0346508046252671
"SALIMI",0.589524108358801,0,0.0415363170751574,0.116122946785277,0.252816627780764
"NASHED",0.897325748025832,0.00435557557593256,0.00505919702357138,0.00601119179426982,0.0872482875803939
"MCGUTHRY BANKS",0.357698892318876,0.535036568227275,0.0279229623753033,0.00486394978513882,0.0744776272934076
"SAUCIER",0.853865911038931,0.0643008138633043,0.0242182322299973,0.00483251061479951,0.0527825322529677
"EGWIM",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"ROTMAN",0.884616717573311,0.00670353597928383,0.0498333355875301,0.011101974405567,0.047744436454308
"SHOSHO",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"PAK",0.0252250367708544,0.000731054212153899,0.00733358859285699,0.915382216456153,0.0513281039679818
"FREDMAN",0.897542578640537,0.0138961412296883,0.0290537880059551,0.00383565242644342,0.0556718396973759
"WELLS",0.693490733638798,0.201970529026515,0.0282680900466542,0.00682502101444913,0.0694456262735836
"None",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"SISSON",0.862963587645184,0.0427202196213522,0.0246533667913182,0.00835145546856329,0.0613113704735822
"WALKE",0.757961951834167,0.125578494295251,0.0256722526549586,0.0415950398077664,0.0491922614078566
"YEE",0.03682754993216,0.00411364015793944,0.0269425003189595,0.82063127533949,0.111485034251451
"HUANG",0.00601399020763069,0.000787634715841286,0.00334681448758011,0.966751275661497,0.0231002849274508
"LUK",0.0231703069817532,0.00453959905449198,0.0140611961989438,0.922023480672381,0.0362054170924304
"WOODWARD",0.85697641329027,0.049375010925446,0.0281879673863115,0.00876898873545401,0.0566916196625181
"FERGUSON",0.7032881526035,0.194348370086399,0.0297575420096171,0.00838107226626767,0.0642248630342167
"NAFF",0.839251594292762,0.0674055945231256,0.0352325840195527,0.0031009139865404,0.0550093131780196
"FAY",0.891664842219272,0.0176056936028213,0.0341641589218902,0.0142701765131685,0.0422951287428481
"ULM",0.893236001072343,0.0043694651868731,0.0224764633403119,0.0396280868596325,0.0402899835408393
"WESSENDORF",0.891624446258212,0,0.0204771684343531,0.0486607603099715,0.0392376249974636
"SCHWADRON",0.956285861200248,0,0,0.0167313983283741,0.0269827404713774
"KNABLE",0.959562547782261,0.0060913268631834,0.0123818629357922,0.00840672683043586,0.0135575355883276
